taxa	variety	species	cluster
1D_a	Yuccanus	Mesorhizobium sp004020105	5
1F_bin.1	Yuccanus	Mesorhizobium wenxiniae	8
1F_bin.2	Yuccanus	Mesorhizobium sp004020315	1
2C	Yuccanus	Mesorhizobium sp004020315	1
2I	Yuccanus	Mesorhizobium sp004020315	1
3C	Maricopae	Pseudaminobacter camelthorni	11
3F	Maricopae	Pseudaminobacter camelthorni	11
3I	Maricopae	Pseudaminobacter camelthorni	11
4E	Maricopae	Pseudaminobacter camelthorni	11
4I	Maricopae	Pseudaminobacter camelthorni	11
5A	Yuccanus	Mesorhizobium sp004020315	1
5L	Yuccanus	Mesorhizobium sp004020105	5
19_6C_r_1	Yuccanus	Mesorhizobium sp004020315	1
7C	Borreganus	Pseudaminobacter camelthorni	11
7Q	Borreganus	Mesorhizobium onobrychidis	2
8J	Borreganus	Pseudaminobacter camelthorni	15
8T	Borreganus	Pseudaminobacter camelthorni	11
9F_bin.1	Australis	Mesorhizobium sp004020315	6
9F_bin.2	Australis	Mesorhizobium wenxiniae	8
19_9F_b_1	Australis	Mesorhizobium sp004020315	1
19_10D_d_1	Australis	Mesorhizobium wenxiniae	8
11C	Maricopae	Pseudaminobacter camelthorni	11
11D	Maricopae	Pseudaminobacter camelthorni	11
14A	Borreganus	Pseudaminobacter camelthorni	11
16A	Borreganus	Pseudaminobacter camelthorni	11
19_16A_d_b_1	Borreganus	Mesorhizobium sp004020365	5
17A	Borreganus	Pseudaminobacter camelthorni	11
17E	Borreganus	Pseudaminobacter camelthorni	11
19_17P_pp_1a	Borreganus	Pseudaminobacter camelthorni	11
19_18A_d_2_1	Variabilis	Mesorhizobium sp004020365	5
20A	Fremontii	Mesorhizobium sp004020105	5
21A	Borreganus	Mesorhizobium temperatum	2
19_21C_e_4	Borreganus	Mesorhizobium onobrychidis	2
25B	Variabilis	Mesorhizobium sp000503055	9
25D	Variabilis	Mesorhizobium sp000503055	9
25F	Variabilis	Mesorhizobium sp000503055	9
19_25F_a_1	Variabilis	Mesorhizobium sp000503055	9
27A	Variabilis	Pseudaminobacter camelthorni	14
27C	Variabilis	Pseudaminobacter camelthorni	14
27I	Variabilis	Pseudaminobacter camelthorni	14
30C	Nigricalycis	Mesorhizobium sp004020365	5
34A	Variabilis	Mesorhizobium muleiense	5
34B	Variabilis	Mesorhizobium muleiense	5
35J	Variabilis	Mesorhizobium temperatum	6
36N	Antonius	Mesorhizobium sp004020315	1
39E	Antonius	Mesorhizobium muleiense	5
40A	Yuccanus	Mesorhizobium wenxiniae	8
40H	Yuccanus	Mesorhizobium sp004020315	1
41A_bin.1	Yuccanus	Mesorhizobium sp004020315	1
41A_bin.2	Yuccanus	Mesorhizobium sp004020105	5
41G	Yuccanus	Mesorhizobium sp004020315	1
19_41G_f_1	Yuccanus	Mesorhizobium sp004020315	1
43C	Palans	Mesorhizobium sp004020315	1
43U_bin.1	Palans	Mesorhizobium sp004020105	5
43U_bin.2	Palans	Mesorhizobium sp004020315	1
44A	Vitreus	Pseudaminobacter camelthorni	11
45L	Vitreus	Pseudaminobacter camelthorni	11
46D	Vitreus	Pseudaminobacter camelthorni	11
47C	Wilsonii	Pseudaminobacter camelthorni	11
47F	Wilsonii	Pseudaminobacter camelthorni	11
47H	Wilsonii	Pseudaminobacter camelthorni	11
48C	Wilsonii	Pseudaminobacter camelthorni	11
48E	Wilsonii	Pseudaminobacter camelthorni	11
49L	Wilsonii	Pseudaminobacter camelthorni	11
54F	Vitreus	Pseudaminobacter camelthorni	11
57H	Lentiginosus	Pseudaminobacter camelthorni	13
68B	Floribundus	Mesorhizobium mediterraneum	3
68E	Floribundus	Pseudaminobacter camelthorni	14
69A	Kennedyi	Pseudaminobacter camelthorni	13
69F	Kennedyi	Pseudaminobacter camelthorni	14
70A	Kennedyi	Pseudaminobacter camelthorni	12
70C	Kennedyi	Pseudaminobacter camelthorni	16
71H	Kennedyi	Pseudaminobacter camelthorni	14
19_71P_h_1c	Kennedyi	Pseudaminobacter camelthorni	14
19_72L_a_1	Fremontii	Mesorhizobium sp004020315	1
19_72L_s_1	Fremontii	Mesorhizobium sp004020315	1
72P	Fremontii	Mesorhizobium sp004020315	1
73C_bin.2	Salinus	Mesorhizobium sp000503055	9
73C_bin.3	Salinus	Pseudaminobacter camelthorni	13
73F	Salinus	Mesorhizobium muleiense	5
75A	Floribundus	Mesorhizobium temperatum	6
75H	Floribundus	Mesorhizobium sp004020315	1
19_76H_q_1c	Salinus	Mesorhizobium temperatum	6
76L	Salinus	Mesorhizobium sp004020315	1
76P	Salinus	Mesorhizobium sp004020315	6
77B	Salinus	Pseudaminobacter camelthorni	14
77E	Salinus	Pseudaminobacter camelthorni	12
77J_redo	Salinus	Pseudaminobacter camelthorni	14
19_79D_k_b_2	Floribundus	Mesorhizobium sp004020315	1
79H	Floribundus	Mesorhizobium opportunistum	10
80B	Ineptus	Mesorhizobium sp004962245	4
80F	Ineptus	Mesorhizobium sp003952365	4
81A	Floribundus	Mesorhizobium muleiense	5
81E	Floribundus	Mesorhizobium muleiense	5
19_82D_b_1	Semotus	Mesorhizobium sp004020645	7
83D	Ineptus	Mesorhizobium sp004020105	5
83H	Ineptus	Mesorhizobium sp004020105	5
84D	Ineptus	Mesorhizobium sp004020105	5
84H	Ineptus	Mesorhizobium sp004020105	5
85F	Semotus	Mesorhizobium sp004020315	1
85I	Semotus	Mesorhizobium sp004020315	1
19_86L_c_1	Fremontii	Mesorhizobium sp004020315	1
LF21_2AB2	Fremontii	Mesorhizobium sp004020315	1
Trichopodus	Trichopodus	Mesorhizobium sp004020105	5
